Date,price,short_mavg,long_mavg,signal,positions
2023-06-12,183.789993,183.789993,183.789993,0.0,
2023-06-13,183.309998,183.54999550000002,183.54999550000002,0.0,0.0
2023-06-14,183.949997,183.68332933333332,183.68332933333332,0.0,0.0
2023-06-15,186.009995,184.26499575,184.26499575,0.0,0.0
2023-06-16,184.919998,184.39599619999998,184.39599619999998,0.0,0.0
2023-06-20,185.009995,184.49832933333334,184.49832933333334,0.0,0.0
2023-06-21,183.960007,184.42142614285714,184.42142614285714,0.0,0.0
2023-06-22,187.0,184.743747875,184.743747875,0.0,0.0
2023-06-23,186.679993,184.95888622222222,184.95888622222222,0.0,0.0
2023-06-26,185.270004,184.98999799999999,184.98999799999999,0.0,0.0
2023-06-27,188.059998,185.26908890909093,185.26908890909093,0.0,0.0
2023-06-28,189.25,185.6008315,185.6008315,0.0,0.0
2023-06-29,189.589996,185.90769030769232,185.90769030769232,0.0,0.0
2023-06-30,193.970001,186.48356964285716,186.48356964285716,0.0,0.0
2023-07-03,192.460007,186.8819988,186.8819988,0.0,0.0
2023-07-05,191.330002,187.159999,187.159999,0.0,0.0
2023-07-06,191.809998,187.43352835294118,187.43352835294118,0.0,0.0
2023-07-07,190.679993,187.6138875,187.6138875,0.0,0.0
2023-07-10,188.610001,187.66631452631577,187.66631452631577,0.0,0.0
2023-07-11,188.080002,187.6869989,187.6869989,0.0,0.0
2023-07-12,189.770004,187.78618961904763,187.78618961904763,0.0,0.0
2023-07-13,190.539993,187.9113625,187.9113625,0.0,0.0
2023-07-14,190.690002,188.0321729130435,188.0321729130435,0.0,0.0
2023-07-17,193.990005,188.28041591666667,188.28041591666667,0.0,0.0
2023-07-18,193.729996,188.49839912,188.49839912,0.0,0.0
2023-07-19,195.100006,188.7523070769231,188.7523070769231,0.0,0.0
2023-07-20,193.130005,188.91444403703704,188.91444403703704,0.0,0.0
2023-07-21,191.940002,189.02249967857142,189.02249967857142,0.0,0.0
2023-07-24,192.75,189.15103417241377,189.15103417241377,0.0,0.0
2023-07-25,193.619995,189.29999953333333,189.29999953333333,0.0,0.0
2023-07-26,194.5,189.46774148387095,189.46774148387095,0.0,0.0
2023-07-27,193.220001,189.58499959375,189.58499959375,0.0,0.0
2023-07-28,195.830002,189.7742420909091,189.7742420909091,0.0,0.0
2023-07-31,196.449997,189.9705878235294,189.9705878235294,0.0,0.0
2023-08-01,195.610001,190.1317139142857,190.1317139142857,0.0,0.0
2023-08-02,192.580002,190.19972191666668,190.19972191666668,0.0,0.0
2023-08-03,191.169998,190.22594559459458,190.22594559459458,0.0,0.0
2023-08-04,181.990005,190.0092103157895,190.0092103157895,0.0,0.0
2023-08-07,178.850006,189.72307687179486,189.72307687179486,0.0,0.0
2023-08-08,179.800003,189.475000025,189.475000025,0.0,0.0
2023-08-09,178.190002,189.33500024999998,189.1997561707317,1.0,1.0
2023-08-10,177.970001,189.201500325,188.93238104761906,1.0,0.0
2023-08-11,177.789993,189.047500225,188.67325574418604,1.0,0.0
2023-08-14,179.460007,188.883750525,188.46386372727272,1.0,0.0
2023-08-15,177.449997,188.6970005,188.21911113333334,1.0,0.0
2023-08-16,176.570007,188.4860008,187.96586973913043,1.0,0.0
2023-08-17,174.0,188.237000625,187.66872357446806,1.0,0.0
2023-08-18,174.490005,187.92425075,187.39416693750002,1.0,0.0
2023-08-21,175.839996,187.653250825,187.15836753061222,1.0,0.0
2023-08-22,177.229996,187.45225062499998,186.9598001,1.0,0.0
2023-08-23,181.119995,187.27875054999998,186.84529411764706,1.0,0.0
2023-08-24,176.380005,186.957000675,186.6440385576923,1.0,0.0
2023-08-25,178.610001,186.6825008,186.49245294339624,1.0,0.0
2023-08-28,180.190002,186.338000825,186.37574088888888,0.0,-1.0
2023-08-29,184.119995,186.129500525,186.33472732727273,0.0,0.0
2023-08-30,187.649994,186.037500325,186.35821423214287,0.0,0.0
2023-08-31,187.869995,185.93900025,186.38473670175438,0.0,0.0
2023-09-01,189.460007,185.9085006,186.4377586034483,0.0,0.0
2023-09-05,189.699997,185.93575049999998,186.49305077966102,0.0,0.0
2023-09-06,182.910004,185.80650055,186.43333333333334,0.0,0.0
2023-09-07,177.559998,185.5012504,186.28786881967216,0.0,0.0
2023-09-08,178.179993,185.1922504,186.15709662903225,0.0,0.0
2023-09-11,179.360001,184.909000375,186.0492062222222,0.0,0.0
2023-09-12,176.300003,184.466750325,185.896874921875,0.0,0.0
2023-09-13,174.210007,183.9787506,185.71707695384615,0.0,0.0
2023-09-14,175.740005,183.49475057499998,185.5659091969697,0.0,0.0
2023-09-15,175.009995,183.041750325,185.40835823880596,0.0,0.0
2023-09-18,177.970001,182.6925003,185.29897063235293,0.0,0.0
2023-09-19,179.070007,182.35050047500002,185.20869579710143,0.0,0.0
2023-09-20,175.490005,181.897250725,185.06985735714287,0.0,0.0
2023-09-21,173.929993,181.38300055,184.91295785915494,0.0,0.0
2023-09-22,174.789993,180.92225034999998,184.772361125,0.0,0.0
2023-09-25,176.080002,180.42850034999998,184.65328771232876,0.0,0.0
